SOL,Item Description
10.RI.1.A,Explain the organization of ideas or events in a text and the connections among them.
10.RI.1.B,Interpret the use of data or information presented in graphics.
10.RI.1.C,"Evaluate details in a text, determining which could confirm or disprove an argument or position."
10.RI.2.A,Analyze how text structure explains relationships among concepts in a text.
10.RI.2.A,Analyze how key sections of text contribute to the whole.
10.RI.2.B,Analyze how key terms and ideas clarify concepts in an informational text.
10.RI.2.C,Analyze the author's purpose and impact of literary techniques in a text.
10.RI.3.A,Evaluate how different authors use evidence to support their viewpoints of the same topic.
10.RL.1.B,Analyze how text structure advances a plot.
10.RL.1.C,Differentiate between different types of characters.
10.RL.2.B,Analyze how authors use literary devices and figurative language to impact the meaning of a text.
10.RL.2.C,"Analyze how authors use word choices, syntax, tone, or voice to convey intent and viewpoint."
10.RL.2.C,Analyze point of view and distinguish between what is directly stated in a text and what is implied.
10.RL.2.D,Analyze point of view and distinguish between what is directly stated in a text and what is implied.
10.RVF.1.D,Discriminate between the connotative and denotative meanings and interpret the connotation.
10.RVN.1.D,Discriminate between the connotative and denotative meanings and interpret the connotation.
11.RI.1.A,Summarize a workplace or technical document.
11.RI.1.A,Interpret and complete an application.
11.RI.1.B,"Analyze the hypotheses, data, analysis, and/or conclusions in texts."
11.RI.1.C,Corroborate or challenge claims in text with other sources of information.
11.RI.2.A,Examine how textual elements and organizational patterns contribute to the author's purpose.
11.RI.2.C,Analyze the author's purpose and impact of literary techniques in a text.
11.RI.3.A,Analyze information within and between paired passages.
11.RI.3.B,"Compare and contrast informational and technical texts for intent, content, and clarity."
11.RL.1.B,Describe how a section of text contributes to the development of setting and plot.
11.RL.1.C,Analyze how characters are revealed through particular lines of dialogue or events.
11.RL.2.B,"Evaluate how word choice, syntax, tone or voice conveys an author's intent and viewpoint."
11.RL.2.C,Critique how authors use literary devices to contribute to the meaning of a text.
11.RL.2.D,Analyze literary techniques to differentiate between what is stated or implied.
11.RVF.1.B,Use context and sentence structure clues to clarify the meaning of words.
11.RVF.1.C,Use structural analysis of roots to understand complex words.
11.RVF.1.E,Explain and analyze idiomatic expressions.
11.RVN.1.B,Use context and sentence structure clues to clarify the meaning of words.
11.RVN.1.C,Use structural analysis of roots to understand complex words.
11.RVN.1.D,Analyze the meanings of words with similar denotations.
9.RI.1.A,Analyze the development of main ideas in informational texts.
9.RI.1.C,"Distinguish between facts, judgments, and speculation."
9.RI.1.C,Determine whether evidence effectively supports an argument.
9.RI.2.A,"Compare characteristics of expository, technical, and persuasive texts."
9.RI.2.B,Analyze the use of word choice and rhetorical devices to persuade an audience.
9.RI.3.B,Evaluate the clarity and accuracy of information in informational texts.
9.RL.1.A,Analyze the development of a theme in a literary text.
9.RL.1.B,Analyze how different text structures contribute to meaning and style of a text.
9.RL.1.C,Differentiate between different types of characters and their impact on theme.
9.RL.2.A,Analyze the use of literary devices in a poem to convey a message and elicit a reader's emotions.
9.RL.2.B,"Explain how the author's word choice, syntax, tone, and voice create meaning."
9.RL.2.C,Explain the point of view and distinguish between what is implied or intended by the use of literary devices.
9.RL.3.B,Explain the relationship between and among literary elements in a text.
9.RVN.1.E,Identify and explain idiomatic language in context.
